HGDP00330 HGDP00330 Kalash
HGDP00333 HGDP00333 Kalash
HGDP00336 HGDP00336 Burusho
HGDP00338 HGDP00338 Burusho
HGDP00341 HGDP00341 Burusho
HGDP00346 HGDP00346 Burusho
HGDP00351 HGDP00351 Burusho
HGDP00356 HGDP00356 Burusho
HGDP00359 HGDP00359 Burusho
HGDP00364 HGDP00364 Burusho
HGDP00371 HGDP00371 Burusho
HGDP00372 HGDP00372 Burusho
HGDP00376 HGDP00376 Burusho
HGDP00382 HGDP00382 Burusho
HGDP00388 HGDP00388 Burusho
HGDP00392 HGDP00392 Burusho
HGDP00397 HGDP00397 Burusho
HGDP00402 HGDP00402 Burusho
HGDP00407 HGDP00407 Burusho
HGDP00412 HGDP00412 Burusho
HGDP00417 HGDP00417 Burusho
HGDP00423 HGDP00423 Burusho
HGDP00428 HGDP00428 Burusho
HGDP00433 HGDP00433 Burusho
HGDP00438 HGDP00438 Burusho
HGDP00444 HGDP00444 Burusho
HGDP00445 HGDP00445 Burusho
HGDP00449 HGDP00449 MbutiPygmy
HGDP00450 HGDP00450 MbutiPygmy
HGDP00454 HGDP00454 BiakaPygmy
HGDP00455 HGDP00455 BiakaPygmy
HGDP00456 HGDP00456 MbutiPygmy
HGDP00457 HGDP00457 BiakaPygmy
HGDP00458 HGDP00458 BiakaPygmy
HGDP00459 HGDP00459 BiakaPygmy
HGDP00460 HGDP00460 BiakaPygmy
HGDP00461 HGDP00461 BiakaPygmy
HGDP00462 HGDP00462 MbutiPygmy
HGDP00463 HGDP00463 MbutiPygmy
HGDP00464 HGDP00464 BiakaPygmy
HGDP00465 HGDP00465 BiakaPygmy
HGDP00466 HGDP00466 BiakaPygmy
HGDP00467 HGDP00467 MbutiPygmy
HGDP00469 HGDP00469 BiakaPygmy
HGDP00470 HGDP00470 BiakaPygmy
HGDP00471 HGDP00471 MbutiPygmy
HGDP00472 HGDP00472 BiakaPygmy
HGDP00473 HGDP00473 BiakaPygmy
HGDP00474 HGDP00474 MbutiPygmy
HGDP00475 HGDP00475 BiakaPygmy
HGDP00476 HGDP00476 MbutiPygmy
HGDP00478 HGDP00478 MbutiPygmy
HGDP00479 HGDP00479 BiakaPygmy
HGDP00491 HGDP00491 Melanesian
HGDP00511 HGDP00511 French
HGDP00512 HGDP00512 French
HGDP00513 HGDP00513 French
HGDP00514 HGDP00514 French
HGDP00515 HGDP00515 French
HGDP00516 HGDP00516 French
HGDP00517 HGDP00517 French
HGDP00518 HGDP00518 French
HGDP00519 HGDP00519 French
HGDP00520 HGDP00520 French
HGDP00521 HGDP00521 French
HGDP00522 HGDP00522 French
HGDP00523 HGDP00523 French
HGDP00524 HGDP00524 French
HGDP00525 HGDP00525 French
HGDP00526 HGDP00526 French
HGDP00527 HGDP00527 French
HGDP00528 HGDP00528 French
HGDP00529 HGDP00529 French
HGDP00530 HGDP00530 French
HGDP00531 HGDP00531 French
HGDP00533 HGDP00533 French
HGDP00534 HGDP00534 French
HGDP00535 HGDP00535 French
HGDP00536 HGDP00536 French
HGDP00537 HGDP00537 French
HGDP00538 HGDP00538 French
HGDP00539 HGDP00539 French
HGDP00540 HGDP00540 Papuan
HGDP00541 HGDP00541 Papuan
HGDP00542 HGDP00542 Papuan
HGDP00543 HGDP00543 Papuan
HGDP00544 HGDP00544 Papuan
HGDP00545 HGDP00545 Papuan
HGDP00546 HGDP00546 Papuan
HGDP00547 HGDP00547 Papuan
HGDP00548 HGDP00548 Papuan
HGDP00549 HGDP00549 Papuan
HGDP00550 HGDP00550 Papuan
HGDP00551 HGDP00551 Papuan
HGDP00552 HGDP00552 Papuan
HGDP00553 HGDP00553 Papuan
HGDP00554 HGDP00554 Papuan
